index,date,duration,item,month,network,network_type
67,24/10/14 13:35,1.0,sms,2014-11,Vodafone,mobile
68,24/10/14 13:39,1.0,sms,2014-11,Vodafone,mobile
69,24/10/14 13:39,1.0,sms,2014-11,Vodafone,mobile
70,24/10/14 13:47,1.0,sms,2014-11,Vodafone,mobile
71,24/10/14 13:48,1.0,sms,2014-11,Vodafone,mobile
72,24/10/14 13:50,1.0,sms,2014-11,Vodafone,mobile
73,24/10/14 13:57,1.0,sms,2014-11,Vodafone,mobile
74,24/10/14 13:57,1.0,sms,2014-11,Vodafone,mobile
75,24/10/14 14:20,1.0,sms,2014-11,Three,mobile
76,24/10/14 14:27,1.0,sms,2014-11,Vodafone,mobile
77,24/10/14 18:29,1.0,sms,2014-11,Vodafone,mobile
79,24/10/14 18:40,1.0,sms,2014-11,Vodafone,mobile
80,25/10/14 06:58,34.429,data,2014-11,data,data
81,26/10/14 06:58,34.429,data,2014-11,data,data
82,26/10/14 14:51,4.0,call,2014-11,Three,mobile
84,26/10/14 21:22,28.0,call,2014-11,Meteor,mobile
85,26/10/14 21:38,62.0,call,2014-11,Three,mobile
86,27/10/14 01:45,3.0,call,2014-11,Tesco,mobile
87,27/10/14 06:58,34.429,data,2014-11,data,data
89,27/10/14 16:30,48.0,call,2014-11,Three,mobile
91,27/10/14 19:55,25.0,call,2014-11,Three,mobile
92,28/10/14 06:58,34.429,data,2014-11,data,data
95,29/10/14 06:58,34.429,data,2014-11,data,data
97,30/10/14 06:58,34.429,data,2014-11,data,data
99,30/10/14 19:48,4.0,call,2014-11,Vodafone,mobile
100,30/10/14 20:02,4.0,call,2014-11,Meteor,mobile
101,31/10/14 06:58,34.429,data,2014-11,data,data
102,31/10/14 07:46,1.0,sms,2014-11,Vodafone,mobile
103,31/10/14 08:00,1.0,sms,2014-11,Vodafone,mobile
104,31/10/14 13:26,5.0,call,2014-11,Three,mobile
106,31/10/14 14:10,43.0,call,2014-11,Three,mobile
107,31/10/14 18:29,1.0,sms,2014-11,Three,mobile
108,31/10/14 18:29,1.0,sms,2014-11,Three,mobile
110,31/10/14 18:39,3.0,call,2014-11,Tesco,mobile
111,01/11/14 06:58,34.429,data,2014-11,data,data
113,01/11/14 17:54,4.0,call,2014-11,Tesco,mobile
114,02/11/14 06:58,34.429,data,2014-11,data,data
119,02/11/14 22:55,8.0,call,2014-11,Meteor,mobile
120,03/11/14 06:58,34.429,data,2014-11,data,data
121,03/11/14 08:40,1.0,sms,2014-11,special,special
122,03/11/14 10:30,135.0,call,2014-11,Three,mobile
123,03/11/14 10:37,7.0,call,2014-11,Vodafone,mobile
124,03/11/14 10:47,37.0,call,2014-11,Vodafone,mobile
125,03/11/14 14:04,1.0,sms,2014-11,Vodafone,mobile
126,03/11/14 15:27,5.0,call,2014-11,Three,mobile
127,03/11/14 16:07,123.0,call,2014-11,landline,landline
128,03/11/14 16:10,4.0,call,2014-11,Tesco,mobile
129,03/11/14 17:03,90.0,call,2014-11,Vodafone,mobile
130,03/11/14 22:36,3.0,call,2014-11,Tesco,mobile
131,04/11/14 06:58,34.429,data,2014-11,data,data
132,04/11/14 11:58,1.0,sms,2014-11,Vodafone,mobile
133,04/11/14 11:58,1.0,sms,2014-11,Vodafone,mobile
134,04/11/14 13:12,1.0,sms,2014-11,Three,mobile
135,04/11/14 14:05,1.0,sms,2014-11,Three,mobile
136,04/11/14 14:26,1.0,call,2014-11,voicemail,voicemail
137,04/11/14 14:26,98.0,call,2014-11,voicemail,voicemail
138,04/11/14 16:13,1.0,sms,2014-11,Three,mobile
139,04/11/14 16:19,8.0,call,2014-11,Meteor,mobile
140,04/11/14 16:22,9.0,call,2014-11,Meteor,mobile
141,04/11/14 16:24,4.0,call,2014-11,Meteor,mobile
142,04/11/14 16:34,1.0,sms,2014-11,Three,mobile
143,04/11/14 16:39,1.0,sms,2014-11,Meteor,mobile
144,04/11/14 16:41,1.0,sms,2014-11,Meteor,mobile
145,04/11/14 16:45,1.0,sms,2014-11,Three,mobile
146,04/11/14 18:26,4.0,call,2014-11,Tesco,mobile
147,04/11/14 20:15,11.0,call,2014-11,Three,mobile
148,04/11/14 20:15,1.0,sms,2014-11,Meteor,mobile
149,04/11/14 20:15,1.0,sms,2014-11,Meteor,mobile
151,05/11/14 06:58,34.429,data,2014-11,data,data
152,05/11/14 10:59,55.0,call,2014-11,Three,mobile
153,05/11/14 11:30,1.0,sms,2014-11,Vodafone,mobile
154,05/11/14 11:43,1.0,sms,2014-11,Vodafone,mobile
155,05/11/14 12:43,1.0,sms,2014-11,Vodafone,mobile
156,05/11/14 19:35,29.0,call,2014-11,Vodafone,mobile
157,06/11/14 01:02,1.0,sms,2014-11,Vodafone,mobile
158,06/11/14 01:02,1.0,sms,2014-11,Vodafone,mobile
159,06/11/14 06:58,34.429,data,2014-11,data,data
160,06/11/14 09:04,1.0,sms,2014-11,Vodafone,mobile
161,06/11/14 09:05,1.0,sms,2014-11,Vodafone,mobile
163,06/11/14 09:50,89.0,call,2014-11,Three,mobile
164,06/11/14 09:52,75.0,call,2014-11,Meteor,mobile
165,06/11/14 09:54,5.0,call,2014-11,Three,mobile
166,06/11/14 11:47,8.0,call,2014-11,Vodafone,mobile
167,06/11/14 14:52,1.0,sms,2014-11,Vodafone,mobile
170,07/11/14 06:58,34.429,data,2014-11,data,data
173,07/11/14 21:04,1.0,sms,2014-11,Vodafone,mobile
174,07/11/14 21:10,1.0,sms,2014-11,Vodafone,mobile
175,07/11/14 21:12,1.0,sms,2014-11,Vodafone,mobile
176,07/11/14 21:12,1.0,sms,2014-11,Vodafone,mobile
177,07/11/14 21:19,1.0,sms,2014-11,Vodafone,mobile
178,07/11/14 21:25,1.0,sms,2014-11,Vodafone,mobile
179,07/11/14 21:31,1.0,sms,2014-11,Vodafone,mobile
180,07/11/14 21:31,1.0,sms,2014-11,Vodafone,mobile
181,07/11/14 22:04,1.0,sms,2014-11,Vodafone,mobile
182,08/11/14 06:58,34.429,data,2014-11,data,data
183,08/11/14 16:33,41.0,call,2014-11,Three,mobile
184,08/11/14 18:18,6.0,call,2014-11,Tesco,mobile
185,09/11/14 01:41,1.0,sms,2014-11,Three,mobile
186,09/11/14 01:49,1.0,sms,2014-11,Three,mobile
187,09/11/14 01:50,1.0,sms,2014-11,Three,mobile
188,09/11/14 02:04,1.0,sms,2014-11,Three,mobile
189,09/11/14 06:58,34.429,data,2014-11,data,data
190,09/11/14 19:21,14.0,call,2014-11,Tesco,mobile
191,09/11/14 22:09,3.0,call,2014-11,Three,mobile
192,10/11/14 06:58,34.429,data,2014-11,data,data
195,10/11/14 14:59,13.0,call,2014-11,Three,mobile
197,10/11/14 18:19,1.0,sms,2014-11,Three,mobile
198,10/11/14 18:34,1.0,sms,2014-11,Three,mobile
199,11/11/14 06:58,34.429,data,2014-11,data,data
200,11/11/14 09:28,3.0,call,2014-11,Vodafone,mobile
201,11/11/14 11:32,3.0,call,2014-11,Vodafone,mobile
202,11/11/14 11:37,1.0,sms,2014-11,Three,mobile
203,11/11/14 12:39,36.0,call,2014-11,Three,mobile
204,11/11/14 14:13,1.0,sms,2014-11,Meteor,mobile
205,11/11/14 14:20,1.0,sms,2014-11,Meteor,mobile
206,11/11/14 14:41,1.0,sms,2014-11,Meteor,mobile
207,11/11/14 19:56,1.0,sms,2014-11,Three,mobile
208,12/11/14 06:58,34.429,data,2014-11,data,data
209,12/11/14 10:48,1.0,sms,2014-11,Vodafone,mobile
210,12/11/14 10:48,1.0,sms,2014-11,Three,mobile
211,12/11/14 10:48,1.0,sms,2014-11,Vodafone,mobile
212,12/11/14 10:49,1.0,sms,2014-11,Three,mobile
213,12/11/14 12:04,1.0,sms,2014-11,Three,mobile
214,12/11/14 13:49,1.0,sms,2014-11,Vodafone,mobile
215,12/11/14 16:16,1.0,sms,2014-11,Vodafone,mobile
216,12/11/14 16:19,4.0,call,2014-11,landline,landline
217,12/11/14 16:42,1.0,sms,2014-11,Vodafone,mobile
218,12/11/14 16:42,1.0,sms,2014-11,Vodafone,mobile
219,12/11/14 17:14,1.0,sms,2014-11,Vodafone,mobile
220,12/11/14 17:14,1.0,sms,2014-11,Vodafone,mobile
221,12/11/14 17:49,1.0,sms,2014-11,Three,mobile
224,12/11/14 19:01,7.0,call,2014-11,Vodafone,mobile
225,12/11/14 19:18,1.0,sms,2014-11,Three,mobile
226,12/11/14 19:18,1.0,sms,2014-11,Three,mobile
227,12/11/14 19:20,1.0,sms,2014-11,Vodafone,mobile
228,13/11/14 06:58,34.429,data,2014-12,data,data
229,13/11/14 22:30,1.0,sms,2014-11,Three,mobile
230,13/11/14 22:31,1.0,sms,2014-11,Vodafone,mobile
231,14/11/14 06:58,34.429,data,2014-12,data,data
232,14/11/14 17:24,124.0,call,2014-12,voicemail,voicemail
233,14/11/14 17:28,1.0,sms,2014-12,Vodafone,mobile
234,15/11/14 06:58,34.429,data,2014-12,data,data
235,16/11/14 06:58,34.429,data,2014-12,data,data
236,16/11/14 14:05,4.0,call,2014-12,Vodafone,mobile
237,17/11/14 06:58,34.429,data,2014-12,data,data
238,18/11/14 06:58,34.429,data,2014-12,data,data
239,18/11/14 08:22,1.0,sms,2014-12,Vodafone,mobile
240,18/11/14 08:29,1.0,sms,2014-12,Vodafone,mobile
241,18/11/14 08:29,1.0,sms,2014-12,Vodafone,mobile
242,18/11/14 08:33,1.0,sms,2014-12,Vodafone,mobile
243,18/11/14 08:34,1.0,sms,2014-12,Vodafone,mobile
244,18/11/14 08:34,1.0,sms,2014-12,Vodafone,mobile
245,18/11/14 08:39,1.0,sms,2014-12,Vodafone,mobile
246,18/11/14 08:42,1.0,sms,2014-12,Vodafone,mobile
247,18/11/14 08:45,1.0,sms,2014-12,Vodafone,mobile
248,18/11/14 09:35,1.0,sms,2014-12,Vodafone,mobile
249,19/11/14 06:58,34.429,data,2014-12,data,data
250,19/11/14 14:05,128.0,call,2014-12,Tesco,mobile
253,19/11/14 22:48,1.0,sms,2014-12,Vodafone,mobile
254,20/11/14 06:58,34.429,data,2014-12,data,data
255,20/11/14 14:57,71.0,call,2014-12,voicemail,voicemail
256,20/11/14 14:59,56.0,call,2014-12,Three,mobile
257,20/11/14 16:22,1.0,sms,2014-12,Meteor,mobile
258,20/11/14 19:08,9.0,call,2014-12,Three,mobile
259,20/11/14 21:03,3.0,call,2014-12,Three,mobile
260,20/11/14 21:03,3.0,call,2014-12,Three,mobile
261,21/11/14 00:17,17.0,call,2014-12,Tesco,mobile
262,21/11/14 01:13,1.0,sms,2014-12,Vodafone,mobile
263,21/11/14 06:58,34.429,data,2014-12,data,data
264,21/11/14 10:29,1.0,sms,2014-12,Meteor,mobile
265,21/11/14 10:29,1.0,sms,2014-12,Meteor,mobile
266,21/11/14 10:30,1.0,sms,2014-12,Meteor,mobile
267,21/11/14 11:29,8.0,call,2014-12,landline,landline
269,21/11/14 11:49,11.0,call,2014-12,landline,landline
270,21/11/14 11:50,34.0,call,2014-12,Three,mobile
271,21/11/14 11:50,8.0,call,2014-12,Three,mobile
275,22/11/14 06:58,34.429,data,2014-12,data,data
276,22/11/14 12:02,75.0,call,2014-12,Meteor,mobile
277,22/11/14 12:10,90.0,call,2014-12,Vodafone,mobile
278,22/11/14 14:30,13.0,call,2014-12,Vodafone,mobile
279,22/11/14 14:33,20.0,call,2014-12,Vodafone,mobile
280,22/11/14 14:34,2.0,call,2014-12,Vodafone,mobile
281,23/11/14 06:58,34.429,data,2014-12,data,data
283,23/11/14 16:10,107.0,call,2014-12,Three,mobile
284,23/11/14 17:36,55.0,call,2014-12,Three,mobile
285,23/11/14 17:53,5.0,call,2014-12,Three,mobile
286,23/11/14 17:53,20.0,call,2014-12,Three,mobile
287,23/11/14 17:54,2.0,call,2014-12,Three,mobile
288,24/11/14 06:58,34.429,data,2014-12,data,data
289,24/11/14 09:40,1.0,sms,2014-12,Three,mobile
290,24/11/14 12:24,4.0,call,2014-12,Meteor,mobile
291,25/11/14 06:58,34.429,data,2014-12,data,data
292,25/11/14 11:25,21.0,call,2014-12,Vodafone,mobile
293,25/11/14 16:09,1.0,sms,2014-12,Meteor,mobile
294,25/11/14 16:19,1.0,sms,2014-12,Meteor,mobile
295,25/11/14 17:10,114.0,call,2014-12,Meteor,mobile
296,25/11/14 18:06,1.0,sms,2014-12,Meteor,mobile
297,25/11/14 18:18,81.0,call,2014-12,Meteor,mobile
299,25/11/14 19:10,71.0,call,2014-12,Tesco,mobile
300,25/11/14 19:20,40.0,call,2014-12,Tesco,mobile
301,25/11/14 19:21,29.0,call,2014-12,voicemail,voicemail
302,25/11/14 19:25,37.0,call,2014-12,Tesco,mobile
303,25/11/14 19:26,63.0,call,2014-12,voicemail,voicemail
304,25/11/14 20:39,1.0,sms,2014-12,Three,mobile
305,26/11/14 06:58,34.429,data,2014-12,data,data
306,26/11/14 07:03,14.0,call,2014-12,Meteor,mobile
307,26/11/14 07:15,1.0,sms,2014-12,Vodafone,mobile
308,26/11/14 07:57,1.0,sms,2014-12,Vodafone,mobile
309,26/11/14 07:59,4.0,call,2014-12,Three,mobile
310,26/11/14 08:00,1.0,sms,2014-12,Vodafone,mobile
311,26/11/14 08:13,10.0,call,2014-12,Three,mobile
312,26/11/14 08:16,3.0,call,2014-12,Three,mobile
313,26/11/14 08:26,3.0,call,2014-12,Three,mobile
314,26/11/14 08:27,3.0,call,2014-12,Three,mobile
315,26/11/14 09:01,1.0,sms,2014-12,Meteor,mobile
316,26/11/14 11:53,1.0,sms,2014-12,Meteor,mobile
317,26/11/14 11:54,1.0,sms,2014-12,Meteor,mobile
318,26/11/14 11:54,1.0,sms,2014-12,Meteor,mobile
319,26/11/14 11:56,1.0,sms,2014-12,Meteor,mobile
320,26/11/14 17:48,3.0,call,2014-12,Three,mobile
321,27/11/14 06:58,34.429,data,2014-12,data,data
323,27/11/14 18:38,1.0,sms,2014-12,Three,mobile
324,28/11/14 06:58,34.429,data,2014-12,data,data
325,28/11/14 13:05,1.0,sms,2014-12,Three,mobile
326,28/11/14 13:12,1.0,sms,2014-12,Three,mobile
328,29/11/14 06:58,34.429,data,2014-12,data,data
330,30/11/14 06:58,34.429,data,2014-12,data,data
331,30/11/14 11:45,1.0,sms,2014-12,Three,mobile
332,30/11/14 11:48,1.0,sms,2014-12,Three,mobile
333,30/11/14 11:48,1.0,sms,2014-12,Three,mobile
334,30/11/14 12:06,1.0,sms,2014-12,Three,mobile
335,30/11/14 14:24,1.0,sms,2014-12,Three,mobile
336,30/11/14 14:44,1.0,sms,2014-12,Three,mobile
337,30/11/14 14:51,4.0,call,2014-12,Three,mobile
338,01/12/14 06:58,34.429,data,2014-12,data,data
339,01/12/14 12:51,1.0,sms,2014-12,Three,mobile
340,01/12/14 12:59,1.0,sms,2014-12,Three,mobile
341,02/12/14 06:58,34.429,data,2014-12,data,data
343,03/12/14 06:58,34.429,data,2014-12,data,data
346,04/12/14 06:58,34.429,data,2014-12,data,data
347,04/12/14 13:52,6.0,call,2014-12,Vodafone,mobile
348,04/12/14 15:34,37.0,call,2014-12,Three,mobile
349,04/12/14 16:02,15.0,call,2014-12,Meteor,mobile
350,04/12/14 23:41,71.0,call,2014-12,voicemail,voicemail
351,05/12/14 06:58,34.429,data,2014-12,data,data
355,06/12/14 06:58,34.429,data,2014-12,data,data
357,06/12/14 18:25,1.0,sms,2014-12,Vodafone,mobile
358,06/12/14 18:26,1.0,sms,2014-12,Tesco,mobile
359,06/12/14 18:26,1.0,sms,2014-12,Vodafone,mobile
360,06/12/14 18:27,1.0,sms,2014-12,world,world
361,06/12/14 18:28,1.0,sms,2014-12,world,world
363,07/12/14 06:58,34.429,data,2014-12,data,data
364,07/12/14 13:03,99.0,call,2014-12,voicemail,voicemail
366,07/12/14 14:39,3.0,call,2014-12,Three,mobile
368,07/12/14 20:36,33.0,call,2014-12,Tesco,mobile
369,07/12/14 20:37,120.0,call,2014-12,Three,mobile
370,07/12/14 23:22,1.0,sms,2014-12,world,world
371,07/12/14 23:22,1.0,sms,2014-12,world,world
372,08/12/14 06:58,34.429,data,2014-12,data,data
373,08/12/14 17:38,55.0,call,2014-12,Meteor,mobile
374,09/12/14 06:58,34.429,data,2014-12,data,data
375,09/12/14 18:32,28.0,call,2014-12,Tesco,mobile
376,10/12/14 06:58,34.429,data,2014-12,data,data
377,11/12/14 06:58,34.429,data,2014-12,data,data
378,12/12/14 06:58,34.429,data,2014-12,data,data
379,12/12/14 11:00,112.0,call,2014-12,Vodafone,mobile
380,12/12/14 18:14,52.0,call,2014-12,Vodafone,mobile
381,13/12/14 06:58,34.429,data,2015-01,data,data
383,14/12/14 02:05,14.0,call,2014-12,landline,landline
384,14/12/14 02:07,8.0,call,2014-12,landline,landline
385,14/12/14 02:09,74.0,call,2014-12,landline,landline
386,14/12/14 06:58,34.429,data,2015-01,data,data
387,14/12/14 15:28,59.0,call,2014-12,voicemail,voicemail
388,14/12/14 19:54,25.0,call,2014-12,Three,mobile
389,15/12/14 06:58,34.429,data,2015-01,data,data
390,15/12/14 19:56,1.0,sms,2015-01,Three,mobile
391,15/12/14 19:58,1.0,sms,2015-01,Three,mobile
392,15/12/14 20:03,4.0,call,2015-01,Three,mobile
393,15/12/14 20:10,1.0,sms,2015-01,Vodafone,mobile
394,15/12/14 20:10,1.0,sms,2015-01,Three,mobile
395,15/12/14 23:12,1.0,sms,2015-01,Three,mobile
396,16/12/14 06:58,34.429,data,2015-01,data,data
397,17/12/14 06:58,34.429,data,2015-01,data,data
399,17/12/14 23:26,1.0,sms,2015-01,Vodafone,mobile
400,18/12/14 06:58,34.429,data,2015-01,data,data
401,18/12/14 12:36,61.0,call,2015-01,Three,mobile
404,18/12/14 16:10,14.0,call,2015-01,Meteor,mobile
405,18/12/14 17:54,17.0,call,2015-01,Three,mobile
406,18/12/14 19:05,46.0,call,2015-01,Tesco,mobile
407,18/12/14 21:58,4.0,call,2015-01,Meteor,mobile
408,18/12/14 21:59,4.0,call,2015-01,Meteor,mobile
409,19/12/14 06:58,34.429,data,2015-01,data,data
410,19/12/14 08:57,1.0,sms,2015-01,Vodafone,mobile
411,19/12/14 10:14,41.0,call,2015-01,Three,mobile
412,19/12/14 12:40,3.0,call,2015-01,Three,mobile
414,19/12/14 12:41,18.0,call,2015-01,Three,mobile
415,19/12/14 14:48,58.0,call,2015-01,Meteor,mobile
416,19/12/14 16:49,48.0,call,2015-01,Tesco,mobile
418,19/12/14 17:00,131.0,call,2015-01,Three,mobile
419,19/12/14 18:44,1.0,sms,2015-01,Vodafone,mobile
420,20/12/14 06:58,34.429,data,2015-01,data,data
421,20/12/14 14:39,1.0,sms,2015-01,Tesco,mobile
422,20/12/14 15:20,1.0,sms,2015-01,Tesco,mobile
424,20/12/14 16:09,1.0,sms,2015-01,Tesco,mobile
425,21/12/14 00:05,54.0,call,2015-01,Meteor,mobile
426,21/12/14 06:58,34.429,data,2015-01,data,data
427,22/12/14 06:58,34.429,data,2015-01,data,data
429,22/12/14 11:22,1.0,sms,2015-01,Vodafone,mobile
430,22/12/14 11:22,1.0,sms,2015-01,Meteor,mobile
431,22/12/14 13:33,46.0,call,2015-01,Vodafone,mobile
432,22/12/14 14:09,1.0,sms,2015-01,Vodafone,mobile
433,22/12/14 14:15,47.0,call,2015-01,Vodafone,mobile
434,22/12/14 18:03,1.0,sms,2015-01,Vodafone,mobile
435,22/12/14 18:03,1.0,sms,2015-01,Vodafone,mobile
436,22/12/14 18:03,1.0,sms,2015-01,Vodafone,mobile
437,22/12/14 19:10,1.0,sms,2015-01,Vodafone,mobile
439,22/12/14 19:35,1.0,sms,2015-01,Meteor,mobile
440,22/12/14 19:36,1.0,sms,2015-01,Meteor,mobile
442,23/12/14 00:57,55.0,call,2015-01,Tesco,mobile
443,23/12/14 06:58,34.429,data,2015-01,data,data
445,23/12/14 11:03,40.0,call,2015-01,landline,landline
447,23/12/14 15:39,1.0,sms,2015-01,Vodafone,mobile
448,23/12/14 15:40,37.0,call,2015-01,landline,landline
449,23/12/14 15:43,1.0,sms,2015-01,Vodafone,mobile
450,23/12/14 19:45,39.0,call,2015-01,voicemail,voicemail
451,23/12/14 20:02,28.0,call,2015-01,landline,landline
452,23/12/14 21:06,1.0,sms,2015-01,Vodafone,mobile
453,24/12/14 06:58,34.429,data,2015-01,data,data
454,24/12/14 13:22,4.0,call,2015-01,Three,mobile
457,24/12/14 13:56,3.0,call,2015-01,Three,mobile
458,24/12/14 17:06,1.0,sms,2015-01,Vodafone,mobile
459,24/12/14 17:07,37.0,call,2015-01,Vodafone,mobile
460,24/12/14 18:44,5.0,call,2015-01,Meteor,mobile
461,24/12/14 20:44,4.0,call,2015-01,Meteor,mobile
462,24/12/14 23:34,1.0,sms,2015-01,Three,mobile
463,25/12/14 06:58,34.429,data,2015-01,data,data
464,25/12/14 12:27,1.0,sms,2015-01,Vodafone,mobile
465,26/12/14 06:58,34.429,data,2015-01,data,data
466,26/12/14 11:09,101.0,call,2015-01,voicemail,voicemail
467,26/12/14 11:48,1.0,sms,2015-01,Vodafone,mobile
468,27/12/14 06:58,34.429,data,2015-01,data,data
469,27/12/14 22:30,1.0,sms,2015-01,Meteor,mobile
470,27/12/14 22:30,1.0,sms,2015-01,Meteor,mobile
471,27/12/14 22:30,1.0,sms,2015-01,Meteor,mobile
472,27/12/14 22:30,1.0,sms,2015-01,Meteor,mobile
473,28/12/14 06:58,34.429,data,2015-01,data,data
474,29/12/14 06:58,34.429,data,2015-01,data,data
476,30/12/14 06:58,34.429,data,2015-01,data,data
477,30/12/14 11:57,1.0,sms,2015-01,Three,mobile
478,30/12/14 11:57,1.0,sms,2015-01,Three,mobile
479,30/12/14 12:01,1.0,sms,2015-01,Three,mobile
480,30/12/14 12:01,1.0,sms,2015-01,Three,mobile
481,30/12/14 12:02,1.0,sms,2015-01,Three,mobile
482,30/12/14 12:03,1.0,sms,2015-01,Three,mobile
483,30/12/14 12:04,1.0,sms,2015-01,Three,mobile
484,30/12/14 12:04,1.0,sms,2015-01,Three,mobile
485,30/12/14 12:05,1.0,sms,2015-01,Three,mobile
486,30/12/14 12:05,1.0,sms,2015-01,Three,mobile
487,30/12/14 12:05,1.0,sms,2015-01,Three,mobile
488,30/12/14 12:05,1.0,sms,2015-01,Three,mobile
489,30/12/14 12:06,1.0,sms,2015-01,Three,mobile
490,30/12/14 12:10,1.0,sms,2015-01,Three,mobile
491,30/12/14 12:10,1.0,sms,2015-01,Three,mobile
492,30/12/14 12:10,1.0,sms,2015-01,Three,mobile
493,30/12/14 12:13,1.0,sms,2015-01,Three,mobile
494,30/12/14 12:14,1.0,sms,2015-01,Three,mobile
495,30/12/14 12:14,1.0,sms,2015-01,Three,mobile
496,31/12/14 06:58,34.429,data,2015-01,data,data
497,31/12/14 13:00,5.0,call,2015-01,Meteor,mobile
500,31/12/14 23:05,1.0,sms,2015-01,Vodafone,mobile
501,31/12/14 23:37,1.0,sms,2015-01,Vodafone,mobile
502,31/12/14 23:37,1.0,sms,2015-01,Vodafone,mobile
503,31/12/14 23:37,1.0,sms,2015-01,Vodafone,mobile
504,01/01/15 06:58,34.429,data,2015-01,data,data
505,02/01/15 06:58,34.429,data,2015-01,data,data
507,02/01/15 23:26,1.0,sms,2015-01,Meteor,mobile
508,02/01/15 23:28,1.0,sms,2015-01,Meteor,mobile
509,03/01/15 06:58,34.429,data,2015-01,data,data
511,04/01/15 00:57,104.0,call,2015-01,Three,mobile
512,04/01/15 06:58,34.429,data,2015-01,data,data
513,04/01/15 14:20,3.0,call,2015-01,Vodafone,mobile
514,04/01/15 14:31,6.0,call,2015-01,Vodafone,mobile
515,04/01/15 14:32,41.0,call,2015-01,Vodafone,mobile
516,05/01/15 06:58,34.429,data,2015-01,data,data
517,05/01/15 09:49,56.0,call,2015-01,landline,landline
518,05/01/15 09:51,128.0,call,2015-01,landline,landline
519,05/01/15 10:10,77.0,call,2015-01,Three,mobile
520,05/01/15 10:25,5.0,call,2015-01,Three,mobile
521,05/01/15 10:25,1.0,sms,2015-01,Three,mobile
522,05/01/15 10:52,1.0,sms,2015-01,Three,mobile
524,05/01/15 11:58,99.0,call,2015-01,Meteor,mobile
525,05/01/15 14:29,60.0,call,2015-01,landline,landline
527,05/01/15 17:22,36.0,call,2015-01,Tesco,mobile
